Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
p16x33bins.47,0,0.88464856,0.035710044,0.07653021,0.032007717,0,0.2802749,0.16024913,0,0,0,0,0.41657454,0,0.10546857,0.02619078,0,0.03290801,0.099725775,0.05787214
jk18x22bins.99,0.0055205724,0.10661523,0.2412783,0.06780168,0.041020382,0.018886803,0.05219296,0.0075739776,0.0071159587,0,0.021999551,0.018758163,0.095004395,0.02931173,0.016888678,0,0.010181463,0.009183796,0.03852392,0
p16x63bins.1,0,0,0.10570547,0.09316073,0,0,0,0,0.16376464,0.037006956,0.030278122,0.10279168,0,0,0.0524883,0.06632253,0,0,0.82838887,0.16031924
jk18x7bins.67,0.08390077,0,0.012291578,0,0.05563859,0.026157903,0,0,0.30288458,0.10183987,0.059885364,0,0.043845706,0.14421502,0.013564519,0.008480413,0.088663965,0.16293721,0.04462439,0.084148034
p16x44bins.4,0,0,0.06370992,0.08866396,0.1065177,0.11162818,0,0,0,0,0,0,0,0,0.4077869,0.15088326,0.025486516,0.051720213,0.059770267,0.0405351
jk18x9bins.28,0.0087091,0.0523749,0.014493026,0.09715847,0,0,0,0,0.26036367,0.011299613,0.3238049,0.012377092,0,0,0.012097322,0,0,0.008819101,0.0061852317,0
jk18x34bins.55,0.014246682,0.013985556,0.12349437,0.027641011,0.026543126,0.43571964,0.06661807,0,0.023118433,0.015195734,0.04996318,0,0.062751636,0.049427465,0,0,0.0070097377,0.014084315,0,0
jk18x25bins.60,0,0.024354717,0.08153828,0.3962229,0.015313293,0.022150505,0.021355169,0,0.021719312,0,0.06419948,0.006152211,0.050757546,0.034380198,0.050188158,0.016684754,0.03115979,0.04745957,0.03263704,0.021475105
jk18x22bins.66,0,0,2.424837,1.6182152,0,0,0,0,0.87497705,0,0.35220873,0.63768524,0,0,0.506387,0.38122714,0,0,0.4424944,1.3843882
jk18x7bins.92,0.027549744,0,0,0,0,0,0.034762815,0,0.25440085,0.063188754,0.27993715,0,0,0.02671785,0,0,0,0,0,0
jk18xAbins.60,0,0.05543142,0.19786096,0.05010731,0.05294265,0,0.1485009,0.021691503,0,0,0,0.44459906,0,0,0.017578337,0,0,0,0,0
p16x44bins.21,0,0.9917855,0.026523862,0.08084541,0.0335161,0,0.30458042,0.17146899,0,0,0,0,0.04073436,0,1.7699531,0.52845895,0,0.05248647,0.09332256,0.054255344
jk18x22bins.33,0,0,0.3351594,0.21321006,0.1331811,0.2149113,0,0,0,0,0,0.011157759,0.032634117,0.0576,0.01352765,0,0,0,0,0
p16x34bins.24,0,0,0,0.031343255,0.02923568,0.08812323,0.022428552,0,0,0,0,0,0.18539059,1.246101,0.061646115,0.015075241,0.022321336,0.08850982,0.028269362,0.031217212
jk18xAbins.3,0,0,0.047376968,0,0,0,0,0,0,0,0,0.35850355,0,0,0,0,0,0,0,0
p16x60bins.21,0,0,0,0.029450564,0.022022933,0.010149357,0,0,0,0,0,0.00900958,0,0,0.08998556,0.030128011,0.17403264,0.22613794,0,0
jk18x34bins.62,0,0,0.050559036,0,0.2851186,0.4372433,0,0,0,0,0,0,0.05055583,0.011767006,0.013776381,0.0074566705,0,0.00871514,0,0
p16x63bins.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40547386,0.37851977
p16x65bins.5,0,0.010871261,0,0.023052523,0,0,0,0,0.009896395,0,0,0.053345982,0.07340454,0,0.029898774,0.010426945,0,0,0.69946665,1.1351043
jk18x11bins.34,0.9627978,0.011651301,0,0.023353742,0,0,0.02985235,0,0.094082005,0.70181817,0.11539123,0,0.05073307,0.0591613,0.011519516,0.01230917,0,0,0,0
jk18x9bins.87,0.21415304,0,0.091696486,0.07774045,0,0,0,0,0.634178,0.22258806,0.5825517,0.057076693,0,0,0.023974137,0.029793391,0,0,0.035834968,0.010979507
jk18x11bins.48,1.6657544,0,0.10635159,0.08459667,0,0,0,0,0.39089075,0.6194532,0.11070923,0.079756856,0,0,0.027432207,0.0337245,0,0,0.043535966,0
